ID,Date,Bench,DiaryNumber,CaseNumber,JudgementBy,URL
5f57640d62a4b235ed37d922,04-10-2017 ,"HON'BLE MR. JUSTICE MADAN B. LOKUR, HON'BLE MR. JUSTICE S. ABDUL NAZEER, HON'BLE MR. JUSTICE DEEPAK GUPTA",11362 / 2007,Crl.A. No.-001799-001799 / 2010,HON'BLE MR. JUSTICE MADAN B. LOKUR,/supremecourt/2007/11362/11362_2007_Judgement_04-Oct-2017.pdf
5f57641362a4b235ed37d923,25-07-2017 ,"HON'BLE MR. JUSTICE ADARSH KUMAR GOEL, HON'BLE MR. JUSTICE UDAY UMESH LALIT",11436 / 2015,C.A. No.-009732-009732 / 2017,HON'BLE MR. JUSTICE ADARSH KUMAR GOEL,/supremecourt/2015/11436/11436_2015_Judgement_25-Jul-2017.pdf
5f57641a62a4b235ed37d924,18-04-2017 ,"A.K. SIKRI,ASHOK BHUSHAN",11457 / 2016,Crl.A. No.-000695-000695 / 2016,,jonew/judgment/judis/44810.pdf
5f57642162a4b235ed37d925,05-12-2017 ,"HON'BLE THE CHIEF JUSTICE RANJAN GOGOI, HON'BLE MRS. JUSTICE R. BANUMATHI",11463 / 2017,C.A. No.-020858-020858 / 2017,HON'BLE THE CHIEF JUSTICE RANJAN GOGOI,/supremecourt/2017/11463/11463_2017_Judgement_05-Dec-2017.pdf
5f57642e62a4b235ed37d927,03-02-2017 ,"RANJAN GOGOI,ASHOK BHUSHAN",11485 / 2011,Crl.A. No.-000216-000216 / 2017,,jonew/judgment/judis/44527.pdf
5f57643562a4b235ed37d928,21-03-2017 ,"ARUN MISHRA,AMITAVA ROY",11506 / 2015,C.A. No.-004309-004309 / 2017,,jonew/judgment/judis/44676.pdf
5f57643c62a4b235ed37d929,20-07-2017 ,"HON'BLE MR. JUSTICE KURIAN JOSEPH, HON'BLE MRS. JUSTICE R. BANUMATHI",11520 / 2005,C.A. No.-005165-005165 / 2010,HON'BLE MR. JUSTICE KURIAN JOSEPH,/supremecourt/2005/11520/11520_2005_Judgement_20-Jul-2017.pdf
5f57644362a4b235ed37d92a,19-07-2017 ,"HON'BLE MR. JUSTICE KURIAN JOSEPH, HON'BLE MRS. JUSTICE R. BANUMATHI",11530 / 2007,C.A. No.-001749-001749 / 2008,HON'BLE MR. JUSTICE KURIAN JOSEPH,/supremecourt/2007/11530/11530_2007_Judgement_19-Jul-2017.pdf
5f57644962a4b235ed37d92b,27-01-2017 ,"A.K. SIKRI,R.K. AGRAWAL",11536 / 2010,C.A. No.-005170-005170 / 2010,,jonew/judgment/judis/44517.pdf
5f57645062a4b235ed37d92c,19-07-2017 ,"HON'BLE MR. JUSTICE KURIAN JOSEPH, HON'BLE MRS. JUSTICE R. BANUMATHI",11572 / 2017,C.A. No.-009291-009291 / 2017,HON'BLE MR. JUSTICE KURIAN JOSEPH,/supremecourt/2017/11572/11572_2017_Judgement_19-Jul-2017.pdf
5f57645d62a4b235ed37d92e,22-08-2017 ,"HON'BLE THE CHIEF JUSTICE RANJAN GOGOI, HON'BLE MR. JUSTICE NAVIN SINHA",11633 / 2016,C.A. No.-010736-010737 / 2017,HON'BLE THE CHIEF JUSTICE RANJAN GOGOI,/supremecourt//2016/2016__Judgement_22-Aug-2017.pdf
5f57646462a4b235ed37d92f,22-09-2017 ,"HON'BLE MR. JUSTICE KURIAN JOSEPH, HON'BLE MRS. JUSTICE R. BANUMATHI",11645 / 2017,C.A. No.-015444-015444 / 2017,HON'BLE MR. JUSTICE KURIAN JOSEPH,/supremecourt/2017/11645/11645_2017_Judgement_22-Sep-2017.pdf
5f57646b62a4b235ed37d930,17-07-2017 ,"HON'BLE MR. JUSTICE ABHAY MANOHAR SAPRE, HON'BLE MRS. JUSTICE R. BANUMATHI",11649 / 2017,C.A. No.-009161-009161 / 2017,HON'BLE MR. JUSTICE ABHAY MANOHAR SAPRE,/supremecourt/2017/11649/11649_2017_Judgement_17-Jul-2017.pdf
5f57647262a4b235ed37d931,14-02-2017 ,"J. CHELAMESWAR,ABHAY MANOHAR SAPRE",11779 / 2004,C.A. No.-004507-004507 / 2004,,jonew/judgment/judis/44588.pdf
5f57647862a4b235ed37d932,19-06-2017 ,"HON'BLE THE CHIEF JUSTICE RANJAN GOGOI, HON'BLE MR. JUSTICE NAVIN SINHA",11795 / 2006,C.A. No.-002763-002764 / 2008,HON'BLE MR. JUSTICE NAVIN SINHA,/supremecourt/2006/11795/11795_2006_Judgement_19-Jun-2017.pdf
5f57647f62a4b235ed37d933,15-09-2017 ,"HON'BLE THE CHIEF JUSTICE RANJAN GOGOI, HON'BLE MR. JUSTICE NAVIN SINHA",11799 / 2006,C.A. No.-010837-010837 / 2011,HON'BLE MR. JUSTICE NAVIN SINHA,/supremecourt//2006/2006__Judgement_15-Sep-2017.pdf
5f5764a162a4b235ed37d938,19-06-2017 ,"HON'BLE THE CHIEF JUSTICE RANJAN GOGOI, HON'BLE MR. JUSTICE NAVIN SINHA",11857 / 2017,CONMT.PET.(C) No.-011857-011857 / 2017,HON'BLE THE CHIEF JUSTICE RANJAN GOGOI,/supremecourt//2017/2017__Judgement_19-Jun-2017.pdf
5f5764af62a4b235ed37d93a,13-11-2017 ,"HON'BLE MR. JUSTICE KURIAN JOSEPH, HON'BLE MRS. JUSTICE R. BANUMATHI",11875 / 2017,C.A. No.-018619-018619 / 2017,HON'BLE MR. JUSTICE KURIAN JOSEPH,/supremecourt/2017/11875/11875_2017_Judgement_13-Nov-2017.pdf
5f5764bc62a4b235ed37d93c,07-11-2017 ,"HON'BLE MR. JUSTICE KURIAN JOSEPH, HON'BLE MRS. JUSTICE R. BANUMATHI",12002 / 2017,C.A. No.-018815-018815 / 2017,HON'BLE MR. JUSTICE KURIAN JOSEPH,/supremecourt/2017/12002/12002_2017_Judgement_07-Nov-2017.pdf
5f5764c362a4b235ed37d93d,04-05-2017 ,"DIPAK MISRA,A.M. KHANWILKAR,MOHAN M. SHANTANAGOUDAR",12028 / 2015,C.A. No.-005630-005630 / 2017,,jonew/judgment/judis/44874.pdf
5f5764ca62a4b235ed37d93e,03-08-2017 ,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE SANJAY KISHAN KAUL",12078 / 2005,C.A. No.-007460-007460 / 2009,HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,/supremecourt/2005/12078/12078_2005_Judgement_03-Aug-2017.pdf
5f5764d162a4b235ed37d93f,16-11-2017 ,"HON'BLE MR. JUSTICE KURIAN JOSEPH, HON'BLE MRS. JUSTICE R. BANUMATHI",12078 / 2017,C.A. No.-018834-018834 / 2017,HON'BLE MR. JUSTICE KURIAN JOSEPH,/supremecourt/2017/12078/12078_2017_Judgement_16-Nov-2017.pdf
5f5764d862a4b235ed37d940,19-06-2017 ,"HON'BLE THE CHIEF JUSTICE RANJAN GOGOI, HON'BLE MR. JUSTICE NAVIN SINHA",12150 / 2012,C.A. No.-006269-006269 / 2013,HON'BLE THE CHIEF JUSTICE RANJAN GOGOI,/supremecourt//2012/2012__Judgement_19-Jun-2017.pdf
